Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,5Y Historical Revenue Growth,1Y Forward Revenue Growth,Total Revenue,PBT,Taxes & Other Items,DII Holding Change,FII Holding Change,MF Holding Change,Promoter Holding Change,Percentage Buy Record,No. of analysts with buy reco,Percentage Upside
Venus Pipes & Tubes Ltd,VENUSPIPES,Iron & Steel,1363.76,685,43.09,NULL,10.49,389.07,42.86,11.21,0.02,-1.55,0.1,0,100,2,27.96
Arvind Fashions Ltd,AFLPP,NULL,1360.38,66.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,122.68
Acrysil Ltd,CARYSIL,Building Products - Granite,1360.07,508.3,21,21.9,39.94,493.97,86.08,21.31,0.15,0,0,0,100,1,54.53
Goldiam International Ltd,GOLDIAM,"Precious Metals, Jewellery & Watches",1349.45,129.85,12.83,17.08,NULL,712.39,148.62,43.44,0,0.08,0,0,NULL,0,NULL
Aptech Ltd,APTECHT,Education Services,1341.94,329.1,27.14,1.8,NULL,236.79,43.43,-6.02,0.46,-1.25,0,-0.25,NULL,0,NULL
Gujarat Industries Power Company Ltd,GIPCL,Power Generation,1341.61,87.95,7.83,-2.88,NULL,1193.54,247.29,75.98,0,0.65,0,0,NULL,0,NULL
EIH Associated Hotels Ltd,EIHAHOTELS,"Hotels, Resorts & Cruise Lines",1341.23,440.45,103.97,-6.15,NULL,197.78,18.4,5.5,0,0.05,0,0,NULL,0,NULL
Omaxe Ltd,OMAXE,Real Estate,1340.84,78.25,-8.4,-17.66,NULL,637.94,-194.38,-34.85,0,-0.01,0,0,NULL,0,NULL
Southern Petrochemical Industries Corporation Ltd,SPIC,Fertilizers & Agro Chemicals,1333.11,64.5,8.16,4.11,NULL,1931.57,173.69,10.34,0,-0.19,0,0,NULL,0,NULL
Sanghvi Movers Ltd,SANGHVIMOV,Business Support Services,1332.97,298.7,45.32,-7.94,-0.93,372.25,39.48,10.07,0.5,0.74,0,0,100,1,7.13
Imagicaaworld Entertainment Ltd,IMAGICAA,Theme Parks & Gaming,1331.2,31.75,-5.45,-20.67,NULL,75.28,-244.07,0,11.35,-2.95,0,-24.01,NULL,0,NULL
Rossell India Ltd,ROSSELLIND,Tea & Coffee,1324.2,361.05,44.13,13.23,NULL,309.9,33.48,3.47,0,0.1,0,0,NULL,0,NULL
Rane Holdings Ltd,RANEHOLDIN,Auto Parts,1306.27,959.15,54.11,2.55,NULL,2761.37,73.58,49.44,-1.56,0.15,-1.37,0,NULL,0,NULL
Kuantum Papers Ltd,KUANTUM,Paper Products,1302.56,148.55,96.99,6.44,NULL,834.25,7.71,-5.72,0,0,0,0,NULL,0,NULL
Indian Metals and Ferro Alloys Ltd,IMFA,Iron & Steel,1293.92,244.1,2.55,8.77,NULL,2619.55,657.65,150.41,0,0.02,0,0,NULL,0,NULL
India Power Corporation Ltd,DPSCLTD,Power Generation,1289.56,13.15,83.85,-11.31,NULL,655.81,21.26,5.88,0,0,0,0,NULL,0,NULL
Kitex Garments Ltd,KITEX,Apparel & Accessories,1286.07,193.65,10.28,8.21,NULL,815.22,172.58,47.46,0,-0.28,0,0,NULL,0,NULL
RPSG Ventures Ltd,RPSGVENT,Packaged Foods & Meats,1283.81,484.95,9.77,NULL,9.76,6794.06,508.47,377.09,-0.24,-1.18,0,4.52,100,1,434.69
Arman Financial Services Ltd,ARMANFIN,Consumer Finance,1283.33,1512,40.42,34.4,NULL,235.01,45.54,13.79,0.06,0.14,0,-0.03,NULL,0,NULL
TAJ GVK Hotels and Resorts Ltd,TAJGVK,"Hotels, Resorts & Cruise Lines",1278.09,202.9,608.62,-3.47,NULL,228.26,18.73,16.63,0.41,0.14,0.35,0,NULL,0,NULL
Shriram Properties Ltd,SHRIRAMPPS,Real Estate,1276.58,75.15,130.8,4.92,NULL,519.74,32.65,22.89,-0.09,-33.85,-0.09,0,NULL,0,NULL
Lloyds Steels Industries Ltd,LSIL,Industrial Machinery,1269.78,12.85,213.77,-6.08,NULL,59.85,12.1,6.16,0,0,0,0,NULL,0,NULL
KDDL Ltd,KDDL,"Precious Metals, Jewellery & Watches",1267.79,1027.8,39.73,12.68,18.62,831.58,52.29,20.38,0.2,-5.95,0,2.22,100,1,-10
Mold-Tek Packaging Ltd,MOLDTEKPP,NULL,1265.6,391.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,7,62.61
Expleo Solutions Ltd,EXPLEOSOL,Software Services,1262.97,1231.05,23.43,9.35,NULL,408.07,72.15,18.24,0.96,0.08,0.35,0,NULL,0,NULL
TTK Healthcare Ltd,TTKHLTCARE,Pharmaceuticals,1261,905.65,30.33,3.74,NULL,641.14,47.91,6.33,2.08,-2.34,-0.29,0,NULL,0,NULL
PIX Transmissions Ltd,PIXTRANS,Industrial Machinery,1254.6,903.9,18.23,12.17,NULL,457.43,94.57,25.74,0.06,0,0,0,NULL,0,NULL
Foseco India Ltd,FOSECOIND,Specialty Chemicals,1254.51,1965.4,38.4,0.12,NULL,343.62,43.32,10.65,0,0.03,0,0,NULL,0,NULL
Arvind Smartspaces Ltd,ARVSMART,Real Estate,1251.96,273.5,49.96,10.65,NULL,264.42,37.62,12.56,NULL,NULL,NULL,NULL,NULL,0,NULL
Thejo Engineering Ltd,THEJO,Construction & Engineering,1246.57,1165.95,33.14,18.61,NULL,425.7,56.27,18.65,NULL,NULL,NULL,NULL,NULL,0,NULL
Andrew Yule & Co Ltd,ANDREWYU,Tea & Coffee,1243.69,25.45,-232.47,0.33,NULL,471.03,11.12,16.47,0,-0.04,0,0,NULL,0,NULL
Dredging Corporation of India Ltd,DREDGECORP,Dredging,1242.93,437.75,363.43,6.44,NULL,818.22,4.62,1.2,0,-0.17,0,0,NULL,0,NULL
Precision Wires India Ltd,PRECWIRE,Electrical Components & Equipments,1242,107.45,19.71,24.84,NULL,2690.04,84.23,21.23,0.04,-0.1,0,0,NULL,0,NULL
Infobeans Technologies Ltd,INFOBEAN,Software Services,1239.74,509.05,22.52,27.89,NULL,288.98,60.17,5.12,0,-0.18,0,0,NULL,0,NULL
Spacenet Enterprises India Ltd,SPCENET,Online Services,1235.05,22.15,1603.97,87.92,NULL,40.54,0.89,0.12,0,0,0,0,NULL,0,NULL
Xpro India Ltd,XPROINDIA,Plastic Products,1234.69,697.15,27.48,7.93,NULL,473.56,40.58,-4.35,0,-0.09,0,0,NULL,0,NULL
Elpro International Ltd,ELPROINTL,Real Estate,1232.28,71.25,1.17,83.3,NULL,1345.39,1272,215.28,0.01,-0.12,0,0,NULL,0,NULL
Goodluck India Ltd,GOODLUCK,Iron & Steel,1229.55,477.4,16.39,18.96,NULL,2617.1,100.56,25.56,0,0.37,0,0,NULL,0,NULL
Nalwa Sons Investments Ltd,NSIL,Asset Management,1227.66,2356.9,18.58,23.35,NULL,97.36,79.87,13.8,-0.01,-0.04,0,0,NULL,0,NULL
Dhampur Bio Organics Ltd,DBOL,Sugar,1227.16,197.9,12.04,NULL,NULL,1548.59,128.97,27.08,NULL,NULL,NULL,NULL,NULL,0,NULL
Tarc Ltd,TARC,Real Estate,1226.92,40.95,-5.27,NULL,NULL,300.68,-229.33,3.41,0,-0.95,0,0.36,NULL,0,NULL
Axiscades Technologies Ltd,AXISCADES,Construction & Engineering,1226.82,314.05,55.19,4.28,18.18,619.4,36.76,14.53,0,0.09,0,0,100,1,25.46
Gujarat Themis Biosyn Ltd,GUJTHEM,Pharmaceuticals,1223.08,842.3,28.04,26.96,NULL,118.9,59.03,15.41,-0.28,0,0,0,NULL,0,NULL
Asian Star Co Ltd,ASTAR,"Precious Metals, Jewellery & Watches",1207.85,758.2,12.87,4.82,NULL,4430.4,113.14,19.32,0,0,0,0,NULL,0,NULL
Manorama Industries Ltd,MANORAMA,Packaged Foods & Meats,1202.58,1066.45,49.78,14.44,NULL,287.36,33.52,9.36,0.06,0.04,0.06,0,NULL,0,NULL
Sangam (India) Ltd,SANGAMIND,Textiles,1201.41,261.65,8.54,8.65,NULL,2444.9,184.09,43.44,-0.01,-0.05,0,8.84,NULL,0,NULL
Shanti Educational Initiatives Ltd,SEIL,Education Services,1201.2,71.35,1482.97,-8.71,NULL,7.48,0.81,0,0,0.08,0,0.13,NULL,0,NULL
WPIL Ltd,WPIL,Industrial Machinery,1197.81,1222.95,12.31,10.68,NULL,1191.42,163.26,65.94,-0.05,0,-0.03,0,0,0,-28.04
Dolat Algotech Ltd,DOLATALGO,Investment Banking & Brokerage,1191.74,67.75,7.12,31.3,NULL,322.12,230.44,63.02,0,0.01,0,0.01,NULL,0,NULL
Gulshan Polyols Ltd,GULPOLY,Specialty Chemicals,1184.04,239.1,13.89,17.33,NULL,1102.78,114.8,29.55,0.22,-0.2,0.22,0,NULL,0,NULL
Everest Industries Ltd,EVERESTIND,Building Products - Prefab Structures,1178.05,760.65,26.73,3.58,NULL,1394.06,66.52,22.44,0.08,1.15,0.07,-0.08,NULL,0,NULL
Parag Milk Foods Ltd,PARAGMILK,FMCG - Foods,1165.67,103.95,-2.19,3.72,7.81,2092.79,-522.07,10.44,-10.76,9.53,0,-4.55,NULL,0,28.91
Ester Industries Ltd,ESTER,Commodity Chemicals,1160.84,139.6,8.49,14.8,NULL,1414.46,186.2,49.49,0,-0.13,0,0,NULL,0,NULL
Sanmit Infra Ltd,SANINFRA,NULL,1159.14,73.4,180.83,9.03,NULL,147.23,7.91,1.5,0,0,0,0,NULL,0,NULL
Ugro Capital Ltd,UGROCAP,Investment Banking & Brokerage,1155.48,159.95,79.36,166.31,NULL,313.42,20.19,5.63,0.18,-0.29,0,0,NULL,0,68.8
Nitin Spinners Ltd,NITINSPIN,Textiles,1149.07,204.5,3.52,23.59,-4.32,2694.16,506.18,180.03,0.54,-0.46,0.57,0,100,1,210.51
Ador Welding Ltd,ADORWELD,Industrial Machinery,1147.62,833.8,25.41,8.4,11.99,675.94,58.21,13.05,-1.9,0.11,-1.9,0,100,1,21.73
Monarch Networth Capital Ltd,MONARCH,Investment Banking & Brokerage,1144.63,383,21.17,16.31,NULL,154.57,72.18,18.12,0,-0.28,0,0,NULL,0,NULL
Pnb Gilts Ltd,PNBGILTS,Investment Banking & Brokerage,1144.23,63.05,6.91,9.33,NULL,781.75,210.15,44.44,0,-0.14,0,0,NULL,0,NULL
Geojit Financial Services Ltd,GEOJITFSL,Investment Banking & Brokerage,1126.68,47.15,7.48,10.39,NULL,501.13,202.31,51.69,0,0.09,0,-2.76,NULL,0,NULL
Onmobile Global Ltd,ONMOBILE,Software Services,1119.86,103.35,34.51,-6.14,NULL,532.58,47.15,14.7,0,0,0,-0.12,NULL,0,NULL
Saksoft Ltd,SAKSOFT,IT Services & Consulting,1116.9,112.65,17.66,13.46,NULL,491.5,80.38,17.12,-0.07,0.13,0,-0.16,NULL,0,NULL
DISA India Ltd,DISAQ,Industrial Machinery,1115.94,7700,28.92,9.39,NULL,266.35,51.88,13.29,0.44,0,0.44,0,NULL,0,NULL
Raghav Productivity Enhancers Ltd,RPEL,Commodity Chemicals,1112.85,1041.6,62.41,19.11,NULL,101.51,23.59,5.76,0,0,0,0,NULL,0,NULL
Inox Wind Energy Ltd,IWEL,Heavy Electrical Equipments,1106.4,1007.75,-9.27,NULL,NULL,834.49,-506.67,-387.31,0,-0.4,0,0,NULL,0,NULL
Ajmera Realty & Infra India Ltd,AJMERA,Real Estate,1106.16,311.9,24.37,10.87,NULL,489.11,61.73,16.34,0,0,0,0,NULL,0,NULL
Moschip Technologies Ltd,MOSCHIP,Software Services,1102.88,66.65,171.52,30.12,NULL,152.77,6.44,0.01,0,0,0,-0.26,NULL,0,NULL
Bigbloc Construction Ltd,BIGBLOC,Building Products - Granite,1101.91,155.35,68.57,22.83,NULL,175.78,18.07,2,0,0.04,0,0,NULL,0,NULL
Steel Exchange India Ltd,STEELXIND,Iron & Steel,1100.41,12.7,9.45,-2.62,NULL,1119.74,14.48,-102,0,-3.5,0,0,NULL,0,NULL
Chemcon Speciality Chemicals Ltd,CHEMCON,Specialty Chemicals,1097.22,298.1,17.49,24.74,NULL,266.33,83.99,21.24,0,0.12,0,0,100,1,61.69
Marathon Nextgen Realty Ltd,MARATHON,Real Estate,1094.58,234.75,28.42,7.24,NULL,344.22,35,-3.51,-0.04,0.04,0,0,NULL,0,NULL
PTC India Financial Services Ltd,PFS,Specialized Finance,1091.28,17.15,8.4,-6.45,NULL,968.74,173.91,43.93,2.11,0,0,0,NULL,0,NULL
Shivalik Rasayan Ltd,SHIVALIK,Fertilizers & Agro Chemicals,1085.73,738.95,42.39,11.95,NULL,218.46,36.97,11.36,0,-0.02,0,0,NULL,0,NULL
Suryoday Small Finance Bank Ltd,SURYODAY,Private Banks,1081.69,100.4,-11.63,32.37,NULL,1035.38,-127.07,-34.04,-0.34,-5.39,-0.16,0,100,1,54.38
Bajaj Healthcare Ltd,BAJAJHCARE,Pharmaceuticals,1081.4,386.6,15.15,23.93,NULL,681.33,89.68,18.3,0,-0.23,0,0,NULL,0,NULL
Krishana Phoschem Ltd,KRISHANA,Fertilizers & Agro Chemicals,1080.63,366.45,36.68,31.72,NULL,320.76,42.78,13.32,0,0,0,0,NULL,0,NULL
Coffee Day Enterprises Ltd,COFFEEDAY,Restaurants & Cafes,1079.96,50.5,-8.95,-24.79,NULL,714.52,-127.91,-7.3,0.94,2.18,0,-3.4,NULL,0,NULL
Everest Kanto Cylinder Ltd,EKC,Gas Distribution,1078.84,96.9,4.07,19.65,-18.42,1729.97,371.99,106.79,0.01,-0.14,0,0,0,0,9.39
Ritesh Properties and Industries Ltd,RPIL,NULL,1078.56,44.15,26.64,31.69,NULL,199.35,40.09,-0.4,0,0,0,0,NULL,0,NULL
SEPC Ltd,SEPC,Construction & Engineering,1076.45,8.15,-4.08,-16.36,NULL,340.59,-220.92,42.78,-3.23,-0.02,0,24.81,NULL,0,NULL
Ngl Fine Chem Ltd,NGLFINE,Pharmaceuticals,1075.8,1768.25,21.56,26.54,NULL,328.18,66.59,16.7,0,0,0,0,NULL,0,NULL
Medicamen Biotech Ltd,MEDICAMEQ,Pharmaceuticals,1073.36,863.8,71.99,NULL,NULL,117.17,18.11,3.2,0.13,1.48,0,-0.39,NULL,0,NULL
BF Investment Ltd,BFINVEST,Asset Management,1071.81,288.45,5.42,-24.29,NULL,268.44,263.49,65.75,0,0.02,0,0,NULL,0,NULL
G M Breweries Ltd,GMBREW,Alcoholic Beverages,1069.1,591.2,11.45,-8.31,NULL,487.05,118.06,24.69,0.01,0.14,0,0,NULL,0,NULL
Shalimar Paints Ltd,SHALPAINTS,Specialty Chemicals,1067.5,147,-16.62,3.04,NULL,408.65,-64.23,0,-0.18,0.05,0,0,NULL,0,NULL
Media Matrix Worldwide Ltd,MMWL,Advertising,1064.19,9.2,872.29,16.82,NULL,588.08,4.46,3.24,0,0,0,0,NULL,0,NULL
Shiva Cement Ltd,SHIVACEM,Cement,1063.14,54.5,-41.66,-19.99,NULL,7.27,-34.52,-9,0,-0.32,0,0,NULL,0,NULL
Quick Heal Technologies Ltd,QUICKHEAL,IT Services & Consulting,1049.09,178.55,12.61,1.92,NULL,361.1,108.68,25.49,0,0.02,0,-0.07,NULL,0,NULL
S. P. Apparels Ltd,SPAL,Apparel & Accessories,1039.08,392.05,12.27,5.84,30.87,868.93,114.79,30.1,0.51,-0.15,0.41,0,100,1,27.53
Waaree Renewable Technologies Ltd,WAAREERTL,NULL,1038.92,499.4,116.73,265.6,NULL,169.82,21.22,12.32,0,0,0,0,NULL,0,NULL
Artemis Medicare Services Ltd,ARTEMISMED,Business Support Services,1037.54,77.7,32.62,3.78,NULL,558.7,37.18,5.37,-0.01,0,0,-0.31,NULL,0,NULL
Universal Cables Ltd,UNIVCABLES,Cables,1034.57,291.8,13.81,16.79,NULL,1891.29,98.57,23.64,0.01,0.11,0,0,NULL,0,NULL
Nucleus Software Exports Ltd,NUCLEUS,Software Services,1032.35,383.95,25.23,5.63,4.48,531.85,55.5,14.59,0.17,-0.26,0,0,100,1,51.06
Precision Camshafts Ltd,PRECAM,Auto Parts,1031.45,109.35,22.41,14.2,NULL,941.36,60.94,14.92,0,0,0,0,NULL,0,NULL
Centrum Capital Ltd,CENTRUM,Diversified Financials,1029.11,24.75,-5.82,-36.83,NULL,703.64,-184.33,-7.58,0,0,0,0,NULL,0,NULL
Vardhman Special Steels Ltd,VSSL,Iron & Steel,1027.66,258.7,10.2,15.51,15,1397.35,158.33,57.59,-0.03,0.02,0,0,0,0,-3.36
Vimta Labs Ltd,VIMTALABS,Labs & Life Sciences Services,1025.92,480.7,24.83,12.56,NULL,279.73,55.68,14.36,0.02,0.14,0,0,NULL,0,NULL
KMC Speciality Hospitals India Ltd,KMCSHIL,Hospitals & Diagnostic Centres,1025.24,62.6,43.2,20.26,NULL,138.22,32.1,8.37,0,0,0,0,NULL,0,NULL
SOM Distilleries and Breweries Ltd,SDBL,Alcoholic Beverages,1020.78,140.9,-103.84,8.08,NULL,365.46,-12.53,-2.7,0,-0.46,0,2.88,NULL,0,NULL
Nahar Spinning Mills Ltd,NAHARSPING,Textiles,1020.27,291.85,2.03,10.87,NULL,3608.37,674.73,172.54,0,-0.29,0,0,NULL,0,NULL
Satin Creditcare Network Ltd,SATIN,Consumer Finance,1018.2,134.2,49.19,11.49,NULL,1380.89,34.18,13.48,-0.45,-0.89,-0.27,3.28,NULL,0,NULL
Avadh Sugar & Energy Ltd,AVADHSUGAR,Sugar,1017.98,509.65,8.18,7.94,3.29,2747.78,167.23,42.82,0.12,-0.05,0,0,100,1,47.16
Mishtann Foods Ltd,MISHTANN,FMCG - Foods,1017.44,10.03,32.39,14.19,NULL,498.59,47.27,15.86,0,0,0,0,NULL,0,NULL
SML Isuzu Ltd,SMLISUZU,Trucks & Buses,1017.37,729.9,-10.2,-7.32,69.49,930.13,-100.27,-0.51,-0.01,0.11,0,0,0,0,-12.86
Tanfac Industries Ltd,TANFACIND,Diversified Chemicals,1014.65,1068.6,19.04,20.54,NULL,323.57,71.95,18.66,0,0,0,0,NULL,0,NULL
ULTRAMARINE & PIGMENTS Ltd,ULTRAMAR,Commodity Chemicals,1014,349.55,17.39,14.11,NULL,499.45,77.61,19.3,0.17,-0.02,0,-0.08,NULL,0,NULL
Pitti Engineering Ltd,PITTIENG,Industrial Machinery,1011.74,321.5,19.51,27.6,21.73,977.58,70.56,18.7,2.01,0.02,1.99,0,100,1,38.72
Jash Engineering Ltd,JASH,Construction & Engineering,1010.57,824.2,31.41,18.32,NULL,373.62,34.58,2.41,0,0.09,0,0,NULL,0,NULL
Ugar Sugar Works Ltd,UGARSUGAR,Sugar,1010.26,91.45,23.32,13.93,NULL,1139.7,46.36,3.04,0,0.13,0,0,NULL,0,NULL
D Link (India) Limited,DLINKINDIA,Technology Hardware,1008.49,282.4,23.84,5.47,NULL,924.9,56.91,14.61,0,-0.02,0,0,NULL,0,NULL
Udaipur Cement Works Ltd,UDAICEMENT,Cement,1006.86,32.35,20.69,57.96,NULL,881.1,64.81,16.15,0,-0.01,0,0,NULL,0,NULL
Sutlej Textiles and Industries Ltd,SUTLEJTEX,Textiles,1003.72,60.3,6.68,6.36,NULL,3112.2,235.72,85.49,0,0.06,0,0,NULL,0,NULL
IFGL Refractories Ltd,IFGLEXPOR,Industrial Machinery,1002.26,271.95,12.94,10.63,NULL,1275.39,103.93,26.45,-0.14,0.04,0,0,NULL,0,NULL
Aurum Proptech Ltd,AURUM,IT Services & Consulting,1000.77,136.4,-89.67,-52.13,NULL,21.01,-16.79,-5.63,0,-0.28,0,0,NULL,0,NULL
Uttam Sugar Mills Ltd,UTTAMSUGAR,Sugar,998.48,261.95,7.4,13.5,NULL,2050.02,177.16,42.22,0,0.68,0,-0.99,NULL,0,NULL
Patel Engineering Ltd,PATELENG,Construction & Engineering,995.04,20.3,13.85,-3.31,NULL,3496.5,112,40.15,-1.06,2.61,0,-11.14,NULL,0,NULL
Vinyl Chemicals India Ltd,VINYLINDIA,Specialty Chemicals,992.59,541.45,28.49,23.92,NULL,867.53,46.66,11.82,0.03,0.97,0,-0.21,NULL,0,NULL
Bodal Chemicals Ltd,BODALCHEM,Commodity Chemicals,991.71,80.55,9.21,10.6,9.08,2067.96,142.04,34.39,0,0.03,0,-0.08,100,2,76.29
Enkei Wheels (India) Ltd,ENKEIWHEL,Auto Parts,988.16,536.3,60.7,3.26,NULL,452.91,17.48,1.2,0,0.02,0,0,100,1,22.51
Hi-Tech Pipes Ltd,HITECH,Building Products - Pipes,984.27,789.4,24.41,24.05,NULL,1879.79,55.33,15,0,0,0,0,NULL,0,NULL
Gloster Ltd,GLOSTERLTD,Textiles,974.21,1731.85,14.92,8.45,NULL,782.38,108.57,43.28,-0.14,0,0,0,NULL,0,NULL
Capacite Infraprojects Ltd,CAPACITE,Construction & Engineering,972.01,144.05,22.1,2.95,33.69,1347.93,60.1,16.11,-2.2,-0.9,-2.49,0,100,3,36.06
Sterling Tools Ltd,STERTOOLS,Industrial Machinery,965.1,281.45,37.8,6.29,45.51,512.61,34.76,9.23,-0.66,0,-0.84,0,0,0,9.79
Sree Rayalaseema Hi-Strength Hypo Ltd,SRHHYPOLTD,Commodity Chemicals,960.79,558.2,9.35,28.27,NULL,1277.95,136.97,34.2,0,0.57,0,0,NULL,0,NULL
Mangalam Cement Ltd,MANGLMCEM,Cement,959.95,340.55,12.35,8.38,-0.32,1593.42,119.09,41.39,0,0.02,0,1.82,100,1,37.28
Mangalore Chemicals and Fertilisers Ltd,MANGCHEFER,Fertilizers & Agro Chemicals,957.07,80.15,10.89,3.26,NULL,2919.85,134.66,46.8,0,-0.32,0,0,NULL,0,NULL
India Nippon Electricals Ltd,INDNIPPON,Auto Parts,956.59,419.3,19.44,10.37,NULL,597.32,60.15,10.94,0,0.01,0,0,NULL,0,NULL
5Paisa Capital Ltd,5PAISA,Diversified Financials,956.24,308.5,69.6,109.01,25.04,297.98,18.51,4.77,0,-0.96,0,2.74,100,1,21.56
Prakash Industries Ltd,PRAKASH,Iron & Steel,953.98,53.45,5.65,13.54,NULL,4107.18,168.82,0.1,0.03,0.1,0,0,NULL,0,NULL
Magellanic Cloud Ltd,MCLOUD,IT Services & Consulting,952.3,341.9,32.33,70.42,NULL,282.78,32.81,3.35,0,0,0,0,NULL,0,NULL
Speciality Restaurants Ltd,SPECIALITY,Restaurants & Cafes,951.54,196.6,116.9,-3.66,NULL,266.55,8.14,0,0.2,0.38,0,0,NULL,0,NULL
Shree Digvijay Cement Co Ltd,SHREDIGCEM,Cement,951.15,69.8,17.21,14.13,NULL,633.33,88.19,32.91,0.06,-0.01,0,-0.11,100,1,4.58
Sportking India Ltd,SPORTKING,Textiles,948.91,720.2,2.32,16.2,NULL,2178.16,547.41,138.16,0,0,0,0,NULL,0,NULL
Uniphos Enterprises Ltd,UNIENTER,Fertilizers & Agro Chemicals,948.08,134.85,17.36,35.08,NULL,58.32,53.94,-0.67,0,0,0,0,NULL,0,NULL
Ge Power India Ltd,GEPIL,Construction & Engineering,947.39,142.8,-3.28,5.24,NULL,2761.67,-290.57,-1.75,-1.48,-0.17,-0.88,0,NULL,0,NULL
Agarwal Industrial Corporation Ltd,AGARIND,Commodity Chemicals,944.59,624.2,14.83,39.96,NULL,1601.99,77.55,13.84,NULL,NULL,NULL,NULL,NULL,0,NULL
Renaissance Global Ltd,RGL,"Precious Metals, Jewellery & Watches",941.09,99.75,8.9,8.28,NULL,2220.31,136.47,30.7,0,-0.14,0,0.05,NULL,0,NULL
Salasar Techno Engineering Ltd,SALASAR,Iron & Steel,939.45,32.9,29.87,13.36,NULL,721.09,42.25,10.8,0,11.26,0,-6.62,NULL,0,NULL
Himatsingka Seide Ltd,HIMATSEIDE,Textiles,936.3,94.7,6.65,8.29,-13.53,3203.57,210.32,69.5,-0.45,-0.5,-0.45,0,33.33,1,11.93
Sastasundar Ventures Ltd,SASTASUNDR,Diversified Financials,935.99,297.95,1.32,67.43,NULL,1800.55,1109.48,400.98,0,-0.08,0,0,NULL,0,NULL
Rico Auto Industries Ltd,RICOAUTO,Auto Parts,934.98,69.15,39.5,12.25,NULL,1878.86,37.98,14.31,0,0.32,0,0,NULL,0,NULL
Zee Media Corporation Ltd,ZEEMEDIA,TV Channels & Broadcasters,931.38,14.4,-7.91,13.45,NULL,876.81,-72.71,45.01,0,-0.09,0,0,NULL,0,NULL
Century Enka Ltd,CENTENKA,Textiles,930.65,425.55,5.05,12.02,NULL,2118.46,244.06,59.9,-1.77,-0.85,0,0,NULL,0,NULL
Vardhman Holdings Ltd,VHL,Diversified Financials,928.69,2908.45,2.16,8.19,NULL,462.55,459.47,30.39,0,-0.01,0,0,NULL,0,NULL
Skipper Ltd,SKIPPER,Power Infrastructure,928.65,91.65,36.92,0.51,NULL,1711.09,26.88,1.73,0,0.59,0,0,NULL,0,NULL
Emami Paper Mills Ltd,EMAMIPAP,Paper Products,925.73,153.5,8.06,10.98,NULL,1959.41,153.39,38.59,0,0.02,0,0,NULL,0,NULL
AGS Transact Technologies Ltd,AGSTRA,Business Support Services,925.38,74.7,-11.22,6.29,3.17,1797.26,-66.58,15.9,-0.15,-1.03,0,0,100,2,67.34
Themis Medicare Ltd,THEMISMED,Pharmaceuticals,924.39,1011.65,12.68,13.32,NULL,412.49,95.26,22.38,0,0.02,0,0,NULL,0,NULL
Pearl Global Industries Ltd,PGIL,Apparel & Accessories,924,426.75,13.56,11.92,NULL,2753.74,85.82,17.67,-0.16,-0.26,0,0,NULL,0,NULL
Antony Waste Handling Cell Ltd,AWHCL,Environmental Services,922.36,323.1,13.58,21.7,21.84,666.79,112.71,44.81,0.57,0.92,0,0,100,2,33.09
Transpek Industry Ltd,TRANSPEK,Commodity Chemicals,921.67,1672.85,14.09,14.13,NULL,627.49,84.23,18.84,-0.05,0,0,0,100,1,79.69
India Motor Parts & Accessories Ltd,IMPAL,Auto Parts,920.83,742.25,15.16,4.61,NULL,664.35,75.8,15.05,0,0.01,0,0,NULL,0,NULL
Ganesh Benzoplast Ltd,GANESHBE,Specialty Chemicals,920.23,149.7,28.16,24.33,NULL,361.43,45.16,12.48,0,0.03,0,0.17,NULL,0,NULL
Dhunseri Ventures Ltd,DVL,Specialty Chemicals,919.59,261.8,2.56,5.52,NULL,679.47,450.25,91.15,0.28,-0.1,0,0,NULL,0,NULL
GIC Housing Finance Ltd,GICHSGFIN,Home Financing,917.92,169.85,5.29,2.91,NULL,1156.4,230.34,56.83,0,0.08,0,0,NULL,0,NULL
Clariant Chemicals India Ltd,CLNINDIA,Specialty Chemicals,917,394.6,21.16,-3.05,NULL,848.18,49.5,6.17,0.07,-0.23,0,0,NULL,0,NULL
Arihant Superstructures Ltd,ARIHANTSUP,Real Estate,909.55,218.5,22,12.29,69.91,332.52,48.5,7.15,0,-0.76,0,0.21,100,1,35.47
Jindal Drilling and Industries Ltd,JINDRILL,Oil & Gas - Equipment & Services,903.28,312.9,14.01,-0.38,NULL,451.84,86.58,22.11,0,-0.17,0,0,NULL,0,NULL
Hexa Tradex Ltd,HEXATRADEX,Commodities Trading,893.92,163.1,-35.69,1.96,NULL,19.82,-34.85,-9.8,-0.01,-20.93,0,29.01,NULL,0,NULL
Forbes & Company Ltd,FORBESCO,Conglomerates,892.99,703.5,0.21,10.28,NULL,5123.08,4214.52,-11.34,-0.01,0,0,0,NULL,0,NULL
Rajnish Wellness Ltd,RAJNISH,FMCG - Personal Products,889.02,24.3,2168.34,1.59,NULL,27.38,0.48,0.07,0,0.51,0,0,NULL,0,NULL
Welspun Specialty Solutions Ltd,WELSPLSOL,Iron & Steel,884.76,16.25,-28.74,-7.59,NULL,182.41,-30.78,0,0,0.02,0,0,NULL,0,NULL
