Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,5Y Historical Revenue Growth,1Y Forward Revenue Growth,Total Revenue,PBT,Taxes & Other Items,DII Holding Change,FII Holding Change,MF Holding Change,Promoter Holding Change,Percentage Buy Record,No. of analysts with buy reco,Percentage Upside
Royale Manor Hotels and Industries Ltd,RAYALEMA,"Hotels, Resorts & Cruise Lines",42.45,23.75,45.64,-4.62,NULL,14.5,1.41,0.48,0,0,0,0,NULL,0,NULL
Chartered Capital and Investment Ltd,CHRTEDCA,Investment Banking & Brokerage,42.44,141,-1061,-15.41,NULL,1.68,0.04,0.08,0,0,0,0,NULL,0,NULL
Cubex Tubings Ltd,CUBEXTUB,Metals - Copper,42.36,29.55,17.5,23.3,NULL,135.68,2.47,0.05,0,0,0,0,NULL,0,NULL
Lerthai Finance Ltd,LERTHAI,Diversified Financials,42.31,574.5,-90.01,19.67,NULL,0.27,-0.4,0.07,0,0,0,0,NULL,0,NULL
Polymechplast Machines Ltd,POLYCHMP,NULL,42.27,76.5,12.32,19.86,NULL,83.93,4.74,1.31,0,0,0,0,NULL,0,NULL
Emergent Industrial Solutions Ltd,EMERGENT,NULL,42.22,92.4,31.27,154.06,NULL,107.97,1.85,0.5,0,0,0,0,NULL,0,NULL
Eiko Lifesciences Ltd,EIKO,NULL,41.97,50,59.12,130.59,NULL,26.08,0.94,0.23,0,0,0,1.2,NULL,0,NULL
Manugraph India Ltd,MANUGRAPH,Industrial Machinery,41.95,14.25,-3.01,-28.62,NULL,49.56,-14.16,-0.21,0,0,0,0,NULL,0,NULL
Hindoostan Mills Ltd,HINDMILL,Textiles,41.94,252.1,-12.83,-7.62,NULL,106.38,-0.67,2.6,0,0,0,0,NULL,0,NULL
Gyscoal Alloys Ltd,GAL,Iron & Steel,41.92,2.65,-7.43,-27.73,NULL,34.15,0.36,6,0,0,0,-13.37,NULL,0,NULL
HB Estate Developers Ltd,HBESD,Real Estate,41.82,21.6,-2.67,-7.14,NULL,52,-22,-6.32,0,0,0,0,NULL,0,NULL
Nippon India ETF NV20,NV20BEES,Equity,41.64,104.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Marshall Machines Ltd,MARSHALL,Industrial Machinery,41.59,28.15,-13.29,3.65,NULL,60.47,-3.69,-0.56,0,0,0,-6.99,NULL,0,NULL
DSJ Keep Learning Ltd,KEEPLEARN,Publishing,41.58,4.55,32.74,118.23,NULL,4.95,0.97,-0.3,0,0,0,0,NULL,0,NULL
Sai Capital Ltd,SAICAPI,Investment Banking & Brokerage,41.55,144.4,3.84,NULL,NULL,18.42,15.55,4.72,-0.95,0,0,0,NULL,0,NULL
Kemistar Corporation Ltd,KEMISTAR,Commodity Chemicals,41.45,38.55,49.95,82,NULL,20.97,1.07,0.24,0,0,0,0,NULL,0,NULL
Rama Vision Ltd,RAMAVISION,FMCG - Personal Products,41.44,41.8,28.19,13.59,NULL,62.84,1.95,0.48,0,0,0,0,NULL,0,NULL
Diana Tea Co Ltd,DIANATEA,Tea & Coffee,41.35,27.6,5.65,7.37,NULL,77.21,8.38,1.06,0,0,0,0,NULL,0,NULL
